DATA;EGOERA;ORDU_KONPARAGARRIAK;ARGI_AKASTUNAK;SUSMAGARRIAK;BAT_DATOZENAK;EZIN_EGIAZTATU;ARGI_AKASTUNEN_PORTZENTAIA;SUSMAGARRI_GUZTIEN_PORTZENTAIA
2014-08-09;EGUN_AKASTUNA;144;144;0;0;0;100.0;100.0
2014-08-10;EGUN_AKASTUNA;144;144;0;0;0;100.0;100.0
2014-08-11;EGUN_AKASTUNA;144;144;0;0;0;100.0;100.0
2014-08-12;EGUN_AKASTUNA;144;144;0;0;0;100.0;100.0
2014-08-13;EGUN_AKASTUNA;144;144;0;0;0;100.0;100.0
2014-08-14;EGUN_AKASTUNA;144;144;0;0;0;100.0;100.0
2014-08-15;EGUN_AKASTUNA;144;144;0;0;0;100.0;100.0
2014-08-16;EGUN_AKASTUNA;144;144;0;0;0;100.0;100.0
2014-08-17;EGUN_AKASTUNA;144;144;0;0;0;100.0;100.0
2014-08-18;EGUN_AKASTUNA;144;144;0;0;0;100.0;100.0
2014-08-19;EGUN_AKASTUNA;144;144;0;0;0;100.0;100.0
2014-08-20;EGUN_AKASTUNA;144;144;0;0;0;100.0;100.0
2014-08-21;EGUN_AKASTUNA;144;144;0;0;0;100.0;100.0
2014-08-22;EGUN_AKASTUNA;144;144;0;0;0;100.0;100.0
2014-08-23;EGUN_AKASTUNA;144;144;0;0;0;100.0;100.0
2014-08-24;EGUN_AKASTUNA;144;144;0;0;0;100.0;100.0
2014-08-08;EGUN_AKASTUNA;144;127;4;13;0;88.19;90.97
2014-08-07;EGUN_AKASTUNA;144;123;4;17;0;85.42;88.19
2014-08-06;EGUN_AKASTUNA;144;90;17;37;0;62.5;74.31
2016-05-10;EGUN_AKASTUNA;144;70;3;71;0;48.61;50.69
2014-08-25;EGUN_AKASTUNA;144;66;1;77;0;45.83;46.53
2015-01-11;EGUN_AKASTUNA;144;49;4;91;0;34.03;36.81
2016-05-09;EGUN_AKASTUNA;144;48;8;88;0;33.33;38.89
2014-08-02;EGUN_AKASTUNA;144;34;2;108;0;23.61;25.0
2016-05-08;EGUN_AKASTUNA;144;29;8;107;0;20.14;25.69
2014-08-01;EGUN_SUSMAGARRIA;144;22;10;112;0;15.28;22.22
2014-08-05;EGUN_SUSMAGARRIA;144;22;27;95;0;15.28;34.03
2014-09-20;EGUN_SUSMAGARRIA;144;11;24;109;0;7.64;24.31
2014-09-09;EGUN_SUSMAGARRIA;144;3;30;111;0;2.08;22.92
2015-09-29;EGUN_SUSMAGARRIA;144;2;48;94;0;1.39;34.72
2013-02-28;EGUN_FIDAGARRIA;144;13;1;130;0;9.03;9.72
2014-09-15;EGUN_FIDAGARRIA;144;12;16;116;0;8.33;19.44
2016-05-07;EGUN_FIDAGARRIA;144;11;0;133;0;7.64;7.64
2017-03-02;EGUN_FIDAGARRIA;144;9;11;124;0;6.25;13.89
2017-03-01;EGUN_FIDAGARRIA;144;8;7;129;0;5.56;10.42
2016-12-13;EGUN_FIDAGARRIA;144;5;3;136;0;3.47;5.56
2017-02-17;EGUN_FIDAGARRIA;144;4;6;134;0;2.78;6.94
2014-07-27;EGUN_FIDAGARRIA;144;3;6;135;0;2.08;6.25
2016-05-05;EGUN_FIDAGARRIA;144;3;2;139;0;2.08;3.47
2017-03-11;EGUN_FIDAGARRIA;144;2;4;138;0;1.39;4.17
2012-11-26;EGUN_FIDAGARRIA;144;1;0;143;0;0.69;0.69
2014-09-23;EGUN_FIDAGARRIA;144;1;1;142;0;0.69;1.39
2015-09-10;EGUN_FIDAGARRIA;144;1;0;143;0;0.69;0.69
2018-06-11;EGUN_FIDAGARRIA;144;1;0;143;0;0.69;0.69
2012-08-18;EGUN_FIDAGARRIA;36;0;0;36;0;0.0;0.0
2012-08-20;EGUN_FIDAGARRIA;63;0;0;63;0;0.0;0.0
2015-01-12;EGUN_FIDAGARRIA;51;0;1;50;0;0.0;1.96
2015-01-15;EGUN_FIDAGARRIA;58;0;0;58;0;0.0;0.0
2017-08-27;EGUN_FIDAGARRIA;59;0;0;59;0;0.0;0.0
2020-09-16;EGUN_FIDAGARRIA;87;0;0;87;0;0.0;0.0
2020-09-21;EGUN_FIDAGARRIA;92;0;0;92;0;0.0;0.0
